id,start_time,end_time,result,session_date,device_id
59,2025-08-23T03:17:13.945Z,2025-08-23T03:17:55.750Z,30,23/08/2025,68A2FA6D
60,2025-08-23T03:19:16.250Z,2025-08-23T03:19:55.988Z,30,23/08/2025,68A2FA6D
61,2025-08-23T03:20:14.142Z,2025-08-23T03:20:44.101Z,30,23/08/2025,68A2FA6D
62,2025-08-23T03:20:59.681Z,2025-08-23T03:21:35.363Z,90,23/08/2025,68A2FA6D
63,2025-08-23T03:22:39.710Z,2025-08-23T03:23:20.114Z,30,23/08/2025,68A2FA6D
64,2025-08-23T03:24:15.177Z,2025-08-23T03:24:54.208Z,60,23/08/2025,68A2FA6D
65,2025-08-23T03:25:48.697Z,2025-08-23T03:26:19.911Z,90,23/08/2025,68A2FA6D
66,2025-08-23T03:26:42.241Z,2025-08-23T03:27:16.094Z,120,23/08/2025,68A2FA6D
67,2025-08-23T03:27:35.356Z,2025-08-23T03:28:00.287Z,90,23/08/2025,68A2FA6D
68,2025-08-23T03:28:10.945Z,2025-08-23T03:28:36.436Z,120,23/08/2025,68A2FA6D
69,2025-08-23T03:28:52.068Z,2025-08-23T03:29:29.658Z,30,23/08/2025,68A2FA6D
70,2025-08-23T03:30:10.863Z,2025-08-23T03:30:47.838Z,60,23/08/2025,68A2FA6D
71,2025-08-23T03:31:28.029Z,2025-08-23T03:32:06.712Z,30,23/08/2025,68A2FA6D
72,2025-08-23T03:32:35.790Z,2025-08-23T03:33:18.969Z,60,23/08/2025,68A2FA6D
73,2025-08-23T03:33:33.895Z,2025-08-23T03:33:56.146Z,30,23/08/2025,68A2FA6D
74,2025-08-23T03:34:42.578Z,2025-08-23T03:35:12.617Z,90,23/08/2025,68A2FA6D
75,2025-08-23T03:36:47.857Z,2025-08-23T03:37:30.050Z,90,23/08/2025,68A2FA6D
76,2025-08-23T03:38:24.018Z,2025-08-23T03:38:49.390Z,90,23/08/2025,68A2FA6D
77,2025-08-23T03:39:38.677Z,2025-08-23T03:40:09.652Z,120,23/08/2025,68A2FA6D
78,2025-08-23T03:40:52.202Z,2025-08-23T03:41:19.600Z,30,23/08/2025,68A2FA6D
79,2025-08-23T03:42:23.481Z,2025-08-23T03:42:54.923Z,30,23/08/2025,68A2FA6D
80,2025-08-23T03:44:05.550Z,2025-08-23T03:44:31.615Z,120,23/08/2025,68A2FA6D
81,2025-08-23T03:45:03.215Z,2025-08-23T03:45:34.709Z,120,23/08/2025,68A2FA6D
82,2025-08-23T03:46:27.251Z,2025-08-23T03:47:12.390Z,-30,23/08/2025,68A2FA6D
83,2025-08-23T03:47:35.533Z,2025-08-23T03:48:14.457Z,30,23/08/2025,68A2FA6D
84,2025-08-23T03:48:51.299Z,2025-08-23T03:49:13.669Z,0,23/08/2025,68A2FA6D
85,2025-08-23T03:49:48.269Z,2025-08-23T03:50:18.883Z,120,23/08/2025,68A2FA6D
86,2025-08-23T03:52:52.174Z,2025-08-23T03:53:23.175Z,60,23/08/2025,68A2FA6D
87,2025-08-23T03:56:02.188Z,2025-08-23T03:56:39.671Z,120,23/08/2025,68A2FA6D
88,2025-08-23T04:00:59.595Z,2025-08-23T04:01:32.169Z,120,23/08/2025,68A2FA6D
89,2025-08-23T04:01:52.644Z,2025-08-23T04:02:14.614Z,120,23/08/2025,68A2FA6D
90,2025-08-23T04:02:40.985Z,2025-08-23T04:03:10.478Z,120,23/08/2025,68A2FA6D
91,2025-08-23T04:04:28.737Z,2025-08-23T04:04:55.563Z,60,23/08/2025,68A2FA6D
92,2025-08-23T04:07:29.200Z,2025-08-23T04:07:54.572Z,30,23/08/2025,68A2FA6D
93,2025-08-23T04:08:15.380Z,2025-08-23T04:08:35.842Z,0,23/08/2025,68A2FA6D
94,2025-08-23T04:08:44.019Z,2025-08-23T04:08:53.932Z,90,23/08/2025,68A2FA6D
95,2025-08-23T04:09:12.778Z,2025-08-23T04:09:25.625Z,-30,23/08/2025,68A2FA6D
96,2025-08-23T04:09:35.721Z,2025-08-23T04:09:41.111Z,30,23/08/2025,68A2FA6D
97,2025-08-23T04:09:52.621Z,2025-08-23T04:10:19.954Z,90,23/08/2025,68A2FA6D
98,2025-08-23T04:11:22.099Z,2025-08-23T04:11:36.786Z,60,23/08/2025,68A2FA6D
99,2025-08-23T04:12:09.480Z,2025-08-23T04:12:21.486Z,30,23/08/2025,68A2FA6D
100,2025-08-23T04:12:29.034Z,2025-08-23T04:12:36.678Z,0,23/08/2025,68A2FA6D
101,2025-08-23T04:12:45.642Z,2025-08-23T04:13:05.330Z,60,23/08/2025,68A2FA6D
102,2025-08-23T04:13:11.533Z,2025-08-23T04:13:20.710Z,30,23/08/2025,68A2FA6D
103,2025-08-23T04:13:27.514Z,2025-08-23T04:13:34.063Z,-30,23/08/2025,68A2FA6D
104,2025-08-23T04:13:53.124Z,2025-08-23T04:14:02.608Z,90,23/08/2025,68A2FA6D
105,2025-08-23T04:14:21.016Z,2025-08-23T04:14:26.725Z,30,23/08/2025,68A2FA6D
106,2025-08-23T04:14:38.703Z,2025-08-23T04:14:53.297Z,0,23/08/2025,68A2FA6D
107,2025-08-23T04:18:08.379Z,2025-08-23T04:18:32.351Z,90,23/08/2025,68A2FA6D
108,2025-08-23T04:18:40.129Z,2025-08-23T04:19:02.923Z,120,23/08/2025,68A2FA6D
109,2025-08-23T04:20:09.190Z,2025-08-23T04:20:36.122Z,60,23/08/2025,68A2FA6D
110,2025-08-23T04:20:48.287Z,2025-08-23T04:21:15.580Z,120,23/08/2025,68A2FA6D
111,2025-08-23T04:24:46.015Z,2025-08-23T04:25:23.725Z,60,23/08/2025,68A2FA6D
112,2025-08-23T04:25:33.128Z,2025-08-23T04:25:56.085Z,90,23/08/2025,68A2FA6D
113,2025-08-23T04:28:06.727Z,2025-08-23T04:28:32.778Z,90,23/08/2025,68A2FA6D
114,2025-08-23T04:28:47.264Z,2025-08-23T04:29:11.208Z,90,23/08/2025,68A2FA6D
115,2025-08-23T04:30:57.960Z,2025-08-23T04:31:34.404Z,90,23/08/2025,68A2FA6D
116,2025-08-23T04:32:09.537Z,2025-08-23T04:32:44.432Z,0,23/08/2025,68A2FA6D
117,2025-08-23T04:33:02.173Z,2025-08-23T04:33:24.889Z,90,23/08/2025,68A2FA6D
118,2025-08-23T04:33:58.717Z,2025-08-23T04:34:28.730Z,90,23/08/2025,68A2FA6D
119,2025-08-23T04:34:37.186Z,2025-08-23T04:34:59.625Z,120,23/08/2025,68A2FA6D
120,2025-08-23T04:35:43.161Z,2025-08-23T04:36:07.051Z,120,23/08/2025,68A2FA6D
121,2025-08-23T04:36:51.990Z,2025-08-23T04:37:07.490Z,30,23/08/2025,68A2FA6D
122,2025-08-23T04:37:23.658Z,2025-08-23T04:37:37.063Z,30,23/08/2025,68A2FA6D
123,2025-08-23T04:38:24.097Z,2025-08-23T04:38:52.349Z,120,23/08/2025,68A2FA6D
124,2025-08-23T04:39:07.621Z,2025-08-23T04:39:32.952Z,60,23/08/2025,68A2FA6D
125,2025-08-23T04:40:00.844Z,2025-08-23T04:40:31.324Z,30,23/08/2025,68A2FA6D
126,2025-08-23T04:41:19.891Z,2025-08-23T04:41:26.615Z,30,23/08/2025,68A2FA6D
127,2025-08-23T04:41:57.707Z,2025-08-23T04:42:18.303Z,90,23/08/2025,68A2FA6D
128,2025-08-23T04:42:29.761Z,2025-08-23T04:42:53.424Z,90,23/08/2025,68A2FA6D
129,2025-08-23T04:45:16.631Z,2025-08-23T04:45:55.115Z,60,23/08/2025,68A2FA6D
130,2025-08-23T04:46:07.413Z,2025-08-23T04:46:36.213Z,120,23/08/2025,68A2FA6D
131,2025-08-23T04:47:09.507Z,2025-08-23T04:47:38.120Z,0,23/08/2025,68A2FA6D
132,2025-08-23T04:47:45.402Z,2025-08-23T04:48:05.810Z,-30,23/08/2025,68A2FA6D
133,2025-08-23T04:48:13.093Z,2025-08-23T04:48:38.478Z,120,23/08/2025,68A2FA6D
134,2025-08-23T04:48:57.832Z,2025-08-23T04:49:35.809Z,-20,23/08/2025,68A2FA6D
135,2025-08-23T04:49:46.226Z,2025-08-23T04:49:49.789Z,30,23/08/2025,68A2FA6D
136,2025-08-23T04:50:10.930Z,2025-08-23T04:50:47.052Z,30,23/08/2025,68A2FA6D
137,2025-08-23T04:51:05.980Z,2025-08-23T04:51:35.433Z,120,23/08/2025,68A2FA6D
138,2025-08-23T04:52:21.412Z,2025-08-23T04:52:51.585Z,60,23/08/2025,68A2FA6D
139,2025-08-23T04:54:59.507Z,2025-08-23T04:55:34.535Z,30,23/08/2025,68A2FA6D
140,2025-08-23T04:57:20.740Z,2025-08-23T04:57:49.192Z,60,23/08/2025,68A2FA6D
141,2025-08-23T04:58:57.634Z,2025-08-23T04:59:20.846Z,120,23/08/2025,68A2FA6D
142,2025-08-23T04:59:26.700Z,2025-08-23T04:59:45.535Z,120,23/08/2025,68A2FA6D
143,2025-08-23T05:01:02.047Z,2025-08-23T05:01:14.987Z,60,23/08/2025,68A2FA6D
144,2025-08-23T05:01:18.254Z,2025-08-23T05:01:21.589Z,30,23/08/2025,68A2FA6D
145,2025-08-23T05:01:33.580Z,2025-08-23T05:01:48.267Z,30,23/08/2025,68A2FA6D
146,2025-08-23T05:01:53.202Z,2025-08-23T05:02:01.593Z,30,23/08/2025,68A2FA6D
147,2025-08-23T05:02:08.795Z,2025-08-23T05:02:14.959Z,30,23/08/2025,68A2FA6D
148,2025-08-23T05:02:22.896Z,2025-08-23T05:02:39.423Z,5,23/08/2025,68A2FA6D
149,2025-08-23T05:04:01.337Z,2025-08-23T05:04:32.537Z,90,23/08/2025,68A2FA6D
150,2025-08-23T05:05:00.948Z,2025-08-23T05:05:13.435Z,30,23/08/2025,68A2FA6D
151,2025-08-23T05:05:21.917Z,2025-08-23T05:05:35.164Z,90,23/08/2025,68A2FA6D
152,2025-08-23T05:05:44.860Z,2025-08-23T05:05:56.667Z,30,23/08/2025,68A2FA6D
153,2025-08-23T05:06:03.055Z,2025-08-23T05:06:23.504Z,0,23/08/2025,68A2FA6D
154,2025-08-23T05:07:05.135Z,2025-08-23T05:07:44.658Z,60,23/08/2025,68A2FA6D
155,2025-08-23T05:09:01.491Z,2025-08-23T05:09:31.384Z,60,23/08/2025,68A2FA6D
156,2025-08-23T05:11:06.545Z,2025-08-23T05:11:42.653Z,120,23/08/2025,68A2FA6D
157,2025-08-23T05:12:10.492Z,2025-08-23T05:12:39.184Z,90,23/08/2025,68A2FA6D
158,2025-08-23T05:13:32.886Z,2025-08-23T05:13:56.177Z,120,23/08/2025,68A2FA6D
159,2025-08-23T05:14:45.291Z,2025-08-23T05:15:15.931Z,0,23/08/2025,68A2FA6D
160,2025-08-23T05:15:33.458Z,2025-08-23T05:16:03.151Z,120,23/08/2025,68A2FA6D
161,2025-08-23T05:16:23.652Z,2025-08-23T05:16:58.214Z,5,23/08/2025,68A2FA6D
162,2025-08-23T05:17:18.623Z,2025-08-23T05:17:41.832Z,120,23/08/2025,68A2FA6D
163,2025-08-23T05:17:50.356Z,2025-08-23T05:18:12.847Z,120,23/08/2025,68A2FA6D
164,2025-08-23T05:18:15.847Z,2025-08-23T05:18:19.809Z,30,23/08/2025,68A2FA6D
165,2025-08-23T05:18:23.971Z,2025-08-23T05:18:46.834Z,120,23/08/2025,68A2FA6D
166,2025-08-23T05:19:06.468Z,2025-08-23T05:19:31.441Z,60,23/08/2025,68A2FA6D
167,2025-08-23T05:21:16.790Z,2025-08-23T05:21:54.900Z,30,23/08/2025,68A2FA6D
168,2025-08-23T05:23:16.455Z,2025-08-23T05:23:39.745Z,60,23/08/2025,68A2FA6D
169,2025-08-23T05:23:48.575Z,2025-08-23T05:24:03.382Z,30,23/08/2025,68A2FA6D
170,2025-08-23T05:24:09.197Z,2025-08-23T05:24:32.154Z,90,23/08/2025,68A2FA6D
171,2025-08-23T05:24:39.357Z,2025-08-23T05:24:56.124Z,60,23/08/2025,68A2FA6D
172,2025-08-23T05:25:00.405Z,2025-08-23T05:25:22.576Z,90,23/08/2025,68A2FA6D
173,2025-08-23T05:26:44.730Z,2025-08-23T05:27:21.426Z,60,23/08/2025,68A2FA6D
174,2025-08-23T05:28:22.051Z,2025-08-23T05:28:55.826Z,30,23/08/2025,68A2FA6D
175,2025-08-23T05:29:09.391Z,2025-08-23T05:29:39.378Z,0,23/08/2025,68A2FA6D
176,2025-08-23T05:32:31.437Z,2025-08-23T05:33:02.037Z,120,23/08/2025,68A2FA6D
177,2025-08-23T05:33:26.581Z,2025-08-23T05:33:52.259Z,90,23/08/2025,68A2FA6D
178,2025-08-23T05:34:42.520Z,2025-08-23T05:35:14.453Z,120,23/08/2025,68A2FA6D
179,2025-08-23T05:36:04.328Z,2025-08-23T05:36:31.766Z,90,23/08/2025,68A2FA6D
180,2025-08-23T05:37:01.620Z,2025-08-23T05:37:08.716Z,60,23/08/2025,68A2FA6D
181,2025-08-23T05:37:21.347Z,2025-08-23T05:37:44.997Z,90,23/08/2025,68A2FA6D
182,2025-08-23T05:38:04.085Z,2025-08-23T05:38:26.536Z,120,23/08/2025,68A2FA6D
183,2025-08-23T05:38:41.395Z,2025-08-23T05:38:59.069Z,30,23/08/2025,68A2FA6D
184,2025-08-23T05:39:14.755Z,2025-08-23T05:39:19.318Z,30,23/08/2025,68A2FA6D
185,2025-08-23T05:40:06.217Z,2025-08-23T05:40:41.166Z,90,23/08/2025,68A2FA6D
